x-coordinate,y-coordinate,Similarity_score
0,1,3.0069266181960064e-16
0,2,2.871028270771294e-16
0,3,5.094204104981569e-16
0,4,3.4763428091626264e-16
0,5,5.913908306909081e-16
0,6,4.912959533752707e-16
0,7,4.3878481353789875e-16
0,8,3.000550843972403e-16
0,9,3.1918462834076346e-16
0,10,4.872807128472572e-16
0,11,5.913908306909081e-16
0,12,4.790393811097748e-16
0,13,4.441820939794598e-16
0,14,4.2202555770892127e-16
0,15,3.3763074707318113e-16
0,16,4.617103507516489e-16
0,17,4.933572191605592e-16
0,18,5.391926659869311e-16
0,19,4.79175735684192e-16
0,20,4.704357830044308e-16
0,21,4.476805484230389e-16
0,22,4.465514407658036e-16
0,23,3.8968628801839384e-16
0,24,3.780145861153139e-16
0,25,4.935622293608142e-16
0,26,3.184183917835321e-16
0,27,2.872356616100176e-16
0,28,3.85755367812287e-16
0,29,5.3831696723483495e-16
0,30,5.913908306909081e-16
0,31,3.071071965939764e-16
0,32,3.0097804697532084e-16
0,33,4.1678316043922534e-16
0,34,3.2245333376783953e-16
0,35,3.911589203203949e-16
0,36,5.836261593238683e-16
0,37,3.1060734969702605e-16
0,38,4.348647249529123e-16
0,39,4.1471357563310726e-16
0,40,3.003707763858824e-16
0,41,5.427686834397723e-16
0,42,3.3108638862075824e-16
0,43,4.854907798615202e-16
0,44,3.4637810495689853e-16
0,45,4.7665184926059e-16
0,46,4.0923810666976695e-16
0,47,4.376165109409421e-16
0,48,4.858059873577473e-16
0,49,4.643115588539255e-16
0,50,5.689317014286294e-16
0,51,5.596510492932724e-16
0,52,3.562692411884328e-16
0,53,4.0827139796219224e-16
0,54,4.770684816710035e-16
0,55,3.1814493160472258e-16
0,56,3.1709943213070514e-16
0,57,3.443690591606172e-16
0,58,3.09469133123394e-16
0,59,3.6646915335760946e-16
0,60,3.276281687089489e-16
0,61,2.993058225370025e-16
0,62,3.505945469492816e-16
0,63,5.913908306909081e-16
0,64,5.913908306909081e-16
0,65,4.974288841373466e-16
0,66,4.803020972932665e-16
0,67,3.1400262455074864e-16
0,68,3.049520784775191e-16
0,69,5.360986936853778e-16
0,70,3.7022041153937267e-16
0,71,4.89434125606679e-16
0,72,5.428948432143699e-16
0,73,5.81721719049039e-16
0,74,5.182129443979663e-16
0,75,3.0922216544640774e-16
0,76,2.949469565429865e-16
0,77,3.2987235527387066e-16
0,78,5.913908306909081e-16
0,79,4.693093351822263e-16
0,80,3.3603300991931275e-16
0,81,2.902477457910896e-16
0,82,5.913908306909081e-16
0,83,4.071035813330711e-16
0,84,4.933327500581949e-16
0,85,5.913908306909081e-16
0,86,4.865967937007437e-16
0,87,2.7893897095493885e-16
0,88,5.913908306909081e-16
0,89,4.839682638000031e-16
0,90,4.940373263449943e-16
0,91,5.180717500039915e-16
0,92,5.422125786869043e-16
0,93,4.2551402739084754e-16
0,94,5.164328021029784e-16
0,95,4.501197034519112e-16
0,96,5.913908306909081e-16
0,97,5.72462953228104e-16
0,98,4.773232059105474e-16
0,99,5.347800492557392e-16
0,100,4.2810647707339976e-16
0,101,5.094422232542353e-16
0,102,4.57229116169708e-16
0,103,5.255692915428892e-16
0,104,4.455840804398177e-16
0,105,4.1199562761231145e-16
0,106,3.052666854919517e-16
0,107,5.711148956185509e-16
0,108,4.498532019168598e-16
0,109,5.05926539434461e-16
0,110,4.848593698392621e-16
0,111,4.766642357061161e-16
0,112,4.991741878886472e-16
0,113,4.4050318602425925e-16
0,114,5.532734360002865e-16
0,115,4.542058860163194e-16
0,116,4.615322341517179e-16
0,117,3.508095077947078e-16
0,118,5.913908306909081e-16
0,119,4.89972415201278e-16
0,120,5.913908306909081e-16
0,121,5.913908306909081e-16
0,122,4.469987764861214e-16
0,123,5.910794543806988e-16
0,124,5.833200904666523e-16
0,125,4.490743896924723e-16
0,126,3.910909610353555e-16
0,127,5.48607845961179e-16
0,128,4.978455027426112e-16
0,129,4.882137501374685e-16
0,130,3.319616694880709e-16
0,131,3.5457156195270963e-16
0,132,5.913908306909081e-16
0,133,3.441675739510243e-16
0,134,4.160470867084694e-16
0,135,5.096121065517978e-16
0,136,5.124503433729665e-16
0,137,5.913908306909081e-16
0,138,5.913908306909081e-16
0,139,4.708898135993746e-16
0,140,5.913908306909081e-16
0,141,5.251512375787585e-16
0,142,5.844914637728883e-16
0,143,5.359091866130812e-16
0,144,5.913908306909081e-16
0,145,5.694961591317558e-16
0,146,5.913908306909081e-16
0,147,5.913908306909081e-16
0,148,4.9186492562176e-16
0,149,5.737608918780847e-16
0,150,4.838435433019501e-16
0,151,5.900280846099829e-16
0,152,5.913908306909081e-16
0,153,5.913908306909081e-16
0,154,5.406166896907163e-16
0,155,4.636031913746214e-16
0,156,5.913908306909081e-16
0,157,5.913908306909081e-16
0,158,5.262986049464782e-16
0,159,5.594718215057705e-16
0,160,5.913908306909081e-16
0,161,5.4598418861765565e-16
0,162,4.900829439710489e-16
0,163,5.913908306909081e-16
0,164,4.929726427320226e-16
0,165,5.913908306909081e-16
0,166,5.913908306909081e-16
0,167,5.913908306909081e-16
0,168,5.913908306909081e-16
0,169,5.913908306909081e-16
0,170,5.913908306909081e-16
0,171,5.913908306909081e-16
0,172,4.604652669361429e-16
0,173,5.168641916070959e-16
0,174,5.403934667147205e-16
0,175,5.623308592580445e-16
0,176,4.615710197693239e-16
0,177,3.166090096234244e-16
0,178,4.183490401222806e-16
0,179,3.961354785433505e-16
0,180,5.047601803249716e-16
0,181,5.289822730021261e-16
0,182,5.913908306909081e-16
0,183,5.246433233468562e-16
0,184,5.768169606862929e-16
0,185,5.913908306909081e-16
0,186,5.913908306909081e-16
0,187,5.245546218750011e-16
0,188,5.913908306909081e-16
0,189,5.524833125494721e-16
0,190,5.684613047726017e-16
0,191,5.913908306909081e-16
0,192,5.913908306909081e-16
0,193,4.561529109854344e-16
0,194,3.8242994264331605e-16
0,195,4.495387015302121e-16
0,196,4.888662910622651e-16
0,197,4.2958508443336697e-16
0,198,3.425367505685613e-16
0,199,4.3113970586844454e-16
0,200,4.14378055664464e-16
0,201,5.32507093574889e-16
0,202,3.247249179184667e-16
0,203,4.659849111152453e-16
0,204,5.913908306909081e-16
0,205,4.15911874650419e-16
0,206,4.686967244157833e-16
0,207,5.276280321994581e-16
0,208,5.129575942326861e-16
0,209,5.588234569700836e-16
0,210,4.171609900210161e-16
0,211,3.364374764520485e-16
0,212,5.297317470539475e-16
0,213,3.951354292671621e-16
1,2,2.871028270771294e-16
1,3,3.0069266181960064e-16
1,4,3.0069266181960064e-16
1,5,3.0069266181960064e-16
1,6,3.0069266181960064e-16
1,7,3.0069266181960064e-16
1,8,3.000550843972403e-16
1,9,3.0069266181960064e-16
1,10,3.0069266181960064e-16
1,11,3.0069266181960064e-16
1,12,3.0069266181960064e-16
1,13,3.0069266181960064e-16
1,14,3.0069266181960064e-16
1,15,3.0069266181960064e-16
1,16,3.0069266181960064e-16
1,17,3.0069266181960064e-16
1,18,3.0069266181960064e-16
1,19,3.0069266181960064e-16
1,20,3.0069266181960064e-16
1,21,3.0069266181960064e-16
1,22,3.0069266181960064e-16
1,23,3.0069266181960064e-16
1,24,3.0069266181960064e-16
1,25,3.0069266181960064e-16
1,26,3.0069266181960064e-16
1,27,2.872356616100176e-16
1,28,3.0069266181960064e-16
1,29,3.0069266181960064e-16
1,30,3.0069266181960064e-16
1,31,3.0069266181960064e-16
1,32,3.0069266181960064e-16
1,33,3.0069266181960064e-16
1,34,3.0069266181960064e-16
1,35,3.0069266181960064e-16
1,36,3.0069266181960064e-16
1,37,3.0069266181960064e-16
1,38,3.0069266181960064e-16
1,39,3.0069266181960064e-16
1,40,3.003707763858824e-16
1,41,3.0069266181960064e-16
1,42,3.0069266181960064e-16
1,43,3.0069266181960064e-16
1,44,3.0069266181960064e-16
1,45,3.0069266181960064e-16
1,46,3.0069266181960064e-16
1,47,3.0069266181960064e-16
1,48,3.0069266181960064e-16
1,49,3.0069266181960064e-16
